epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4333.62,0.84843,0.53117,1.18753,0.98987,1,0.995,0.76223,0.88968,0.39381,1.40909,0.00034351,0.00034351,0.00034351
44,4411.28,0.82307,0.48398,1.16722,0.98991,1,0.995,0.77865,0.84668,0.38078,1.34584,0.000337688,0.000337688,0.000337688
45,4494.48,0.81652,0.48212,1.13487,0.99094,1,0.995,0.74282,0.89334,0.38349,1.40286,0.000331867,0.000331867,0.000331867
46,4577.57,0.80728,0.5026,1.14737,0.99153,1,0.995,0.76278,0.87702,0.37991,1.38775,0.000326046,0.000326046,0.000326046
47,4663.95,0.80605,0.52287,1.14901,0.99058,1,0.995,0.77954,0.8222,0.36948,1.33095,0.000320225,0.000320225,0.000320225
48,4780.61,0.78409,0.47211,1.11827,0.98717,1,0.995,0.77341,0.8216,0.38264,1.33901,0.000314404,0.000314404,0.000314404
49,4864.66,0.81461,0.49977,1.14946,0.99127,0.99874,0.995,0.76696,0.87157,0.36929,1.39903,0.000308582,0.000308582,0.000308582
50,4993.66,0.77817,0.47608,1.12732,0.98816,1,0.995,0.76719,0.82019,0.36266,1.34805,0.000302761,0.000302761,0.000302761
51,5079.59,0.79285,0.48538,1.12007,0.98924,0.99982,0.995,0.78281,0.79409,0.35955,1.3158,0.00029694,0.00029694,0.00029694
52,5157.34,0.80079,0.46816,1.16162,0.98306,1,0.995,0.77404,0.82399,0.35979,1.34951,0.000291119,0.000291119,0.000291119
53,5240.45,0.80606,0.47462,1.17199,0.99104,1,0.995,0.78691,0.82642,0.36642,1.35676,0.000285298,0.000285298,0.000285298
54,5325.2,0.77849,0.45308,1.13888,0.98858,1,0.995,0.77085,0.86343,0.36623,1.3961,0.000279476,0.000279476,0.000279476
55,5399.51,0.79629,0.44806,1.12931,0.99009,0.99383,0.995,0.78345,0.85359,0.35266,1.37727,0.000273655,0.000273655,0.000273655
56,5485.84,0.80572,0.46105,1.16051,0.99391,1,0.995,0.77654,0.83786,0.34744,1.36829,0.000267834,0.000267834,0.000267834
57,5584.14,0.78839,0.45326,1.13033,0.99134,1,0.995,0.79387,0.78883,0.33841,1.30452,0.000262013,0.000262013,0.000262013
58,5668.98,0.79516,0.46375,1.14965,0.99079,1,0.995,0.78443,0.85539,0.36779,1.3678,0.000256192,0.000256192,0.000256192
59,5772.07,0.77994,0.42945,1.13275,0.99155,1,0.995,0.78918,0.84267,0.35769,1.35226,0.00025037,0.00025037,0.00025037
60,5853.21,0.77517,0.44035,1.14288,0.99299,1,0.995,0.79457,0.82114,0.33456,1.34182,0.000244549,0.000244549,0.000244549
61,5936.51,0.79984,0.45606,1.1482,0.9919,1,0.995,0.7783,0.8185,0.34526,1.34101,0.000238728,0.000238728,0.000238728
62,6020.25,0.78481,0.43426,1.1368,0.99344,1,0.995,0.77249,0.83024,0.34134,1.34749,0.000232907,0.000232907,0.000232907
63,6145,0.76471,0.43811,1.13531,0.98947,1,0.995,0.7899,0.82556,0.33616,1.33538,0.000227086,0.000227086,0.000227086
64,6241.44,0.75489,0.41655,1.09666,0.9916,1,0.995,0.79014,0.80675,0.34007,1.31397,0.000221264,0.000221264,0.000221264
65,6328.1,0.75538,0.42132,1.10013,0.98957,1,0.995,0.79445,0.81,0.33056,1.32181,0.000215443,0.000215443,0.000215443
66,6422.27,0.79823,0.43116,1.15408,0.99184,1,0.995,0.78619,0.82445,0.33069,1.33366,0.000209622,0.000209622,0.000209622
67,6572.44,0.76033,0.39852,1.0969,0.99351,1,0.995,0.79737,0.8131,0.32788,1.3239,0.000203801,0.000203801,0.000203801
68,6640.16,0.7422,0.38659,1.09886,0.99402,1,0.995,0.78422,0.81362,0.33041,1.33268,0.00019798,0.00019798,0.00019798
69,6719.8,0.76118,0.41923,1.11676,0.99545,1,0.995,0.78077,0.82906,0.33325,1.34043,0.000192158,0.000192158,0.000192158
70,6802.58,0.76991,0.44228,1.13772,0.99416,1,0.995,0.78479,0.79598,0.32555,1.31298,0.000186337,0.000186337,0.000186337
71,6895.34,0.75469,0.41398,1.14092,0.99145,1,0.995,0.78923,0.81544,0.33201,1.33602,0.000180516,0.000180516,0.000180516
72,6990.38,0.75801,0.42263,1.12457,0.9889,1,0.995,0.78007,0.82738,0.33985,1.35562,0.000174695,0.000174695,0.000174695
73,7116.53,0.76121,0.41666,1.137,0.99356,1,0.995,0.78693,0.79974,0.32285,1.31765,0.000168874,0.000168874,0.000168874
74,7198.32,0.739,0.39337,1.12316,0.99261,1,0.995,0.80165,0.79111,0.30832,1.31392,0.000163052,0.000163052,0.000163052
75,7296.95,0.72657,0.39277,1.10291,0.99091,1,0.995,0.77815,0.84782,0.32376,1.36852,0.000157231,0.000157231,0.000157231
76,7374.16,0.76854,0.43134,1.14114,0.99237,1,0.995,0.77572,0.82394,0.32569,1.36218,0.00015141,0.00015141,0.00015141
77,7457.89,0.73657,0.39422,1.12611,0.99324,1,0.995,0.78963,0.83938,0.32382,1.36557,0.000145589,0.000145589,0.000145589
78,7521.83,0.7349,0.41056,1.10797,0.99192,1,0.995,0.78637,0.8333,0.31401,1.3526,0.000139768,0.000139768,0.000139768
79,7609.7,0.74085,0.39473,1.09825,0.99045,1,0.995,0.77953,0.82272,0.32451,1.35587,0.000133946,0.000133946,0.000133946
80,7699.2,0.73115,0.39707,1.0999,0.99284,1,0.995,0.77559,0.80724,0.31488,1.33458,0.000128125,0.000128125,0.000128125
81,7772.35,0.72882,0.38502,1.11173,0.99285,0.99913,0.995,0.79483,0.81175,0.31019,1.33372,0.000122304,0.000122304,0.000122304
82,7926.45,0.7136,0.38499,1.10296,0.98866,0.99827,0.995,0.78508,0.80889,0.30712,1.35351,0.000116483,0.000116483,0.000116483
